arstmade,has_violence,race,sex,city
0,0,B,M,BRONX
0,0,A,M,QUEENS
0,0,Q,M,BRONX
0,0,B,M,BROOKLYN
0,0,Q,M,QUEENS
0,0,B,M,MANHATTAN
0,0,B,M,BROOKLYN
0,0,B,F,BROOKLYN
0,1,W,M,MANHATTAN
0,0,B,M,BROOKLYN
0,0,B,M,QUEENS
0,0,B,M,BROOKLYN
1,0,B,M,MANHATTAN
0,1,B,M,BROOKLYN
0,0,Q,M,BROOKLYN
0,0,Q,M,BRONX
0,0,Z,Z,MANHATTAN
0,0,B,M,QUEENS
0,0,B,M,MANHATTAN
0,0,P,M,BRONX
0,0,B,M,BROOKLYN
0,0,B,M,MANHATTAN
0,0,B,M,QUEENS
0,1,B,M,BROOKLYN
0,0,B,M,QUEENS
0,1,Q,M,MANHATTAN
1,1,W,M,QUEENS
0,0,A,M,QUEENS
0,0,W,M,QUEENS
0,0,Q,M,BRONX
0,0,B,M,BROOKLYN
0,0,B,M,BROOKLYN
0,0,B,M,BROOKLYN
0,0,W,M,BROOKLYN
0,0,Q,M,BRONX
0,1,Q,M,BRONX
0,0,Q,F,QUEENS
0,0,B,M,QUEENS
0,0,B,M,BROOKLYN
0,0,B,M,BROOKLYN
0,0,B,M,BROOKLYN
0,0,B,M,BROOKLYN
1,1,W,M,STATEN ISLAND
0,1,P,M,MANHATTAN
0,0,B,M,BRONX
0,0,W,M,QUEENS
0,0,B,M,QUEENS
0,0,Q,M,BROOKLYN
0,0,B,M,BROOKLYN
0,1,W,M,QUEENS
0,0,B,M,BROOKLYN
0,0,B,M,BROOKLYN
0,1,B,M,BROOKLYN
0,1,P,M,BROOKLYN
0,0,Q,F,MANHATTAN
0,0,B,M,QUEENS
0,1,W,M,STATEN ISLAND
0,0,Q,M,MANHATTAN
0,0,P,M,BRONX
0,0,Q,M,QUEENS
0,0,Q,M,BROOKLYN
1,1,Q,M,QUEENS
0,0,B,M,BROOKLYN
0,0,B,F,BRONX
0,0,B,M,BROOKLYN
0,0,Q,M,QUEENS
0,0,B,M,BRONX
0,0,Q,M,MANHATTAN
0,0,A,F,QUEENS
0,0,B,M,MANHATTAN
0,1,B,M,BROOKLYN
0,1,B,M,QUEENS
0,0,Q,M,BROOKLYN
0,1,B,M,MANHATTAN
